,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,financial_leverage_ratio,debte_to_quity_ratio,cash_ratio,current_ratio,gross_profit_margin,net_profit_margin,adjusted_profit_to_profit,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_operation_profit_year_on_year,inc_net_profit_year_on_year,RSI,BIAS,PSY,DIF,DEA,MACD,ATR14,HSL,circulating_market_cap,market_cap
000006.XSHE,12.3498,1.787,3.3619,41.7704,2.302278734552961,0.18868796153507347,2.1603555330030013,0.6005391928430699,26.96,72.93,99.69,-523.12,-71.07,-34.33,-31.75,37.901552174717565,-9.43840047044986,40.0,-0.38636592107113277,-0.21582821988944473,-0.3410754023633761,0.15000000000000036,1.550290164360548,99.3673,99.4946
000009.XSHE,64.1115,2.8056,1.8285,6.8805,2.6383275240643673,0.6392023798857446,2.522203692325853,0.5445699452632786,34.23,7.88,16.27,90.56,38.51,-3.99,-7.78,45.92942739041936,-1.6942474389282955,55.00000000000001,-0.05939860215767023,-0.056749913584901716,-0.005297377145537033,0.10999999999999943,0.8546749885887341,128.6894,130.4652
000012.XSHE,23.5637,2.2414,1.8262,12.384,2.1804508523407504,0.395207866342138,3.759793651900353,1.6383211890402702,26.52,11.3,87.47,230.72,24.09,25.82,26.94,39.867561858157366,-4.035476718403548,45.0,-0.2048540392827114,-0.15360036658815146,-0.10250734538911987,0.07000000000000028,0.5234624971596351,113.6582,187.0563
000021.XSHE,23.7553,2.2192,0.9049,-21.5562,2.860605780709273,0.033756157079553296,8.876191427193817,0.8936867699351135,6.82,4.69,42.03,142.6,-4.41,82.89,97.74,49.50944367406429,0.04821600771455592,65.0,-0.13924731560692294,-0.13010667657646593,-0.018281278060914008,0.3600000000000012,1.5368828390815636,128.4143,128.5881
000025.XSHE,266.9488,11.8468,34.4884,-701.1837,1.3977462198445694,0.048232290965294945,2.626230756959008,0.7916233817855096,25.88,19.84,82.08,966.94,-7.44,74.03,81.01,47.914029877806804,-6.350599941469127,45.0,-0.12892417883789875,0.48484069056359186,-1.227529738802981,0.4800000000000004,1.7699709513435005,72.3954,111.0049
000027.XSHE,29.6692,1.0598,1.4954,-14.3942,2.767861485557841,0.9657778717780816,3.413051542710183,1.3856832504681869,27.03,10.52,91.86,173.1,18.81,-24.55,-13.39,49.530653972336,-0.2402471113144837,45.0,-0.023717776014844816,-0.0210861497367565,-0.005263252556176629,0.05999999999999961,0.11630754882894005,231.5263,231.5263
000028.XSHE,24.0697,2.7096,0.617,48.7209,2.2506811707204144,0.028799035668297834,3.302094075265044,0.662102742000668,11.84,2.91,95.92,262.52,-1.52,2.26,-2.69,51.527928531849284,0.5112767584097655,45.0,0.4407204348587328,0.24249356336394504,0.39645374298957553,1.0,0.4168115447641598,183.0156,254.6071
000039.XSHE,19.9,1.6411,0.6544,-55.7417,3.020632052309117,0.8313441079782856,9.447567518308858,0.8715268314220878,18.31,6.25,-1.47,124.36,38.49,38.43,35.74,37.923426440330836,-6.498475518622565,40.0,-0.48907501279312804,-0.40488274530257157,-0.16838453498111294,0.10999999999999943,0.6467502085429779,212.0728,499.3397
000049.XSHE,23.3288,4.9902,0.5615,-60.3242,4.197323159734314,0.00018682354675834148,24.50577315180749,0.8972386953456835,8.93,2.89,98.16,-201.03,40.0,-10.15,-25.56,45.671304724563306,-2.326147850444521,40.0,-0.5876913632281493,-0.420891810915405,-0.3335991046254886,0.9699999999999989,2.1968796923782397,70.1113,70.1113
000050.XSHE,41.0028,2.2866,2.362,-109.6779,2.048544118425324,0.34393780362156945,2.453160931128474,0.9057568143117469,19.87,1.38,-166.23,-509.01,31.1,75.26,-71.9,43.79934570056905,-3.0377794911333935,45.0,-0.666588806013916,-0.5634241638154682,-0.20632928439689557,0.5700000000000003,1.2714872268106157,226.4036,330.9767
000061.XSHE,-100.1676,2.5639,5.4079999999999995,-87.3503,2.794271918498159,0.7722818650702394,5.2445945073468225,2.1451732432503525,35.88,-0.08,368.61,17.13,26.33,-94.98,-100.25,55.25742675587383,3.2912903948056016,65.0,0.1001698633313941,-0.005606874476683574,0.21155347561615537,0.11000000000000032,0.2640259688575278,122.5542,123.0299
000062.XSHE,34.3626,3.3761,1.7073,60.8597,1.9141900101569693,0.15646732541687605,3.0033595083439564,0.7196696148711069,14.57,3.69,82.55,210.95,62.79,-38.62,-39.14,44.14127013452203,-2.6488202902046,60.0,-0.36749608652929133,-0.3163130178240536,-0.10236613741047551,0.34999999999999964,0.3102963685286196,130.9889,141.6666
000066.XSHE,132.1425,3.5521,1.0399,-8.037,1.9307670661356136,0.37753905633423535,2.337784862301004,0.5959060812362403,19.94,1.82,65.75,-1053.31,-88.79,-87.88,-80.31,64.91500135189557,11.916660801013595,50.0,0.3654823126290294,0.19065683254673235,0.3496509601645941,0.41999999999999904,3.9990055767378228,204.2643,241.4137
000078.XSHE,26.7889,2.8538,0.8227,13.8337,3.9587063097644832,0.2728294019496599,7.334353292305781,0.8391755277238273,13.82,3.28,101.06,-99.2,82.04,58.0,51.76,57.06281171618189,1.8316249369853654,60.0,0.10735528183179621,0.088407353444854,0.037895856773884434,0.08000000000000007,0.8794893371575024,113.0703,161.1787
000089.XSHE,26.4184,1.5737,5.3392,2973.6172,1.1771527490780729,0.0004665129834221543,7.366162054965449,0.5284648145586239,28.18,21.95,95.93,138.36,12.4,25.79,30.35,47.53419960688603,-0.48232492826178086,40.0,-0.1388977418864581,-0.10842790037686625,-0.06093968301918368,0.2600000000000007,0.514218002253319,173.29,173.29
000090.XSHE,15.2329,1.8065,1.6309,-45.7489,3.6228711292720086,0.9578176925086958,2.908803138874403,0.5429770583560115,20.59,13.78,66.9,77.68,24.11,229.63,347.23,47.037809138034994,-0.7428140811712678,45.0,-0.08243227034101697,-0.07943099142153212,-0.006002557838969691,0.08999999999999986,0.7540884063187354,75.6524,117.1434
000099.XSHE,57.4208,1.7727,4.1144,25.3525,1.8349865522994455,0.5484805714969523,1.5932375933798735,0.48708933086470924,23.47,1.54,93.91,3583.63,9.71,129.6,-45.61,52.83475556359332,2.9174425822470447,65.0,0.034132461564427174,-0.06674423053239993,0.2017533841936542,0.2400000000000002,2.010560257997742,52.2433,52.2433
000158.XSHE,28.2586,2.3366,1.324,101.4043,2.0865974832691347,0.2522196525133149,6.601533210382745,0.7096383331089838,9.55,0.92,-484.27,-1125.94,-20.04,136.91,133.19,54.228700260753236,3.2490047515089033,55.00000000000001,-0.018906658518061725,-0.03984434061221118,0.041875364188298916,0.5099999999999998,1.2701175620029548,82.2119,133.8829
000400.XSHE,18.6132,1.508,1.1059,-24.1998,1.8842089901347268,0.002875299995646594,5.820002890321669,0.5451157090235272,21.5,7.27,97.34,187.04,5.52,-43.33,-45.78,43.148481331581635,-4.046141746045626,60.0,-0.1328520811260656,-0.05732558373190456,-0.15105299478832213,0.10999999999999943,0.8927507287617076,114.2271,114.2435
000401.XSHE,175.5462,1.9227,1.2673,21.0425,3.6398500308148507,0.6739573334325858,6.451589708151358,1.9747082936074543,31.38,-6.35,122.88,-276.61,19.55,-127.76,-148.5,53.00322952617004,1.057579318448879,60.0,0.025470294495789858,0.06388229232005668,-0.07682399564853365,0.4900000000000002,2.971029505912565,193.7301,193.7738
000418.XSHE,27.6228,5.9048,1.9458,-15.1083,2.596452600016726,0.0020398184153702834,9.24406378610923,0.6697355884412166,24.26,7.31,94.35,323.36,26.37,65.48,41.98,42.923278071787664,-5.939788445890983,50.0,-1.2833926495735923,-0.002455545541151849,-2.561874208064881,1.7000000000000028,0.3185922223189504,289.0577,416.1137
000426.XSHE,45.5072,3.4938,10.1097,-429.6725,1.7100820273746271,0.4022807034048155,8.12523963042272,2.754291052224857,60.92,30.31,100.45,148.01,143.27,172.98,179.3,44.2785464183825,-4.378558806204609,55.00000000000001,-0.4428543732022572,-0.27154364238824136,-0.34262146162803164,0.21999999999999886,0.9961652368303122,130.234,182.9262
